Estab	http://userannotation/na	School Name	http://dbpedia.org/page/Category:Schools	Type	http://dbpedia.org/page/Category:School_types	Phase		Education Area	http://userannotation/na	District Area	http://userannotation/na	2008_A_SchoolAction	http://userannotation/na	2008_P_SchoolActionPlus	http://userannotation/na	2008_Statemented	http://userannotation/na	2009_A_SchoolAction	http://userannotation/na	2009_P_SchoolActionPlus	http://userannotation/na	2009_Statemented	http://userannotation/na	2010_A_SchoolAction	http://userannotation/na	2010_P_SchoolActionPlus	http://userannotation/na	2010_Statemented	http://userannotation/na
4154		Manor Park Community School and Specialist Arts College		Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	24,1		6,8		4,7		24,1		6,6		5,8		20,8		3,2		5,5	
3041		Mappleborough Green C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	10,7		3,6		0,9		5		10,1		1,7		11,1		7,7		1,7	
2028		Michael Drayton Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	19		3,1		1,3		13,8		5		0,4		11,8		6,7		1,6	
5202		Middlemarch School		Junior		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	19,3		5,8		4,3		14,6		9,7		4,9		17,7		13,7		4,6	
2631		Milby Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		12,1		3,3		0,7		10,6		1,7		1,2		9,7		1,2		1,2	
2606		Milverton Primary School		Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	6,1		4,5		0,3		9,2		4,3		0		10		4,7		0	
5205		Moreton Morrell C Of E Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	12,9		3,2		0		13,8		3,4		0		24,2		2,2		0	
5403		Myton School A Specialist Science College and Training School	http://dbpedia.org/page/Myton_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Central		Warwick	http://dbpedia.org/page/Warwick_District	7,9		2,5		1,2		6,5		2,7		1,2		5,3		2,7		1,2	
2029		Nathaniel Newton Infant School	http://userannotation/na	Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	8,3		13,1		1,2		9,3		10,5		1,2		5		10,6		1,7	
3214		Newbold And Tredington C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	8,2		9,4		1,2		8,6		11,1		1,2		24,1		9,6		0	
2627		Newbold Riverside Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	6,7		7,2		3,1		6,8		4,5		2,7		8,3		5,4		2,4	
2325		Newburgh Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	10,6		8,1		2,5		14		8,9		2,8		15,8		7,1		2	
2633		Newdigate Primary School and Nursery		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	23,9		12,3		0,8		22,5		10,8		1,7		22,4		9,7		0,8	
3047		Newton Regis C.Of E. Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	12,6		9,2		0		9		9,9		1,8		7,4		5,7		1,6	
4103		Nicholas Chamberlaine Technology College	http://dbpedia.org/page/Nicholas_Chamberlaine_Technology_College	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	12,8		0		1,8		13,5		0,1		1,8		22,4		2,1		1,6	
4237		North Leamington School	http://dbpedia.org/page/North_Leamington_School	Secondary		Secondary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	15,4		4,1		2,2		14,3		4		2,1		14,4		4,4		2,4	
2417		Northlands Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	6,7		7,1		2,8		6,4		8,2		3		6,5		6,5		3	
2001		Nursery Hill Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	23		6,5		2,2		9,7		5,2		2,2		7,1		7,8		1,4	
7002		Oak Wood Primary School		Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	0		14,8		85,2		0		19		81		0		20,5		79,5	
7046		Oak Wood Secondary School		Special		Special		Nuneaton & Bedworth		Nuneaton and Bedworth		0		0		100		0		0		100		0		0		100	
2577		Oakfield Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	17,2		5,4		2,2		12,9		5,3		1,8		9,3		9,3		1,1	
2419		Oakfield Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	18,2		14,8		3,4		17,3		12,1		2,9		15,2		9,8		3,3	
3546		Our Lady & St. Teresa's Catholic Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	2,7		8,9		2,7		6,5		4,7		2,8		5,4		5,4		3,6	
3520		Our Lady Of The Angels Catholic Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	14,9		3,9		0,7		11,1		3,9		0,7		11,4		2,1		1	
3500		Our Lady's Catholic Primary School, Alcester		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	15,6		7,8		0		19,6		5,4		0		20,8		6,3		0	
3561		Our Lady's Catholic Primary School, Princethorpe		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	15,8		6,1		2,6		18		6,3		4,5		13,9		7,4		4,9	
2625		Paddox Primary School		Primary		Primary		Eastern		Rugby		6,4		4		0,7		6,8		2,9		1,2		6,3		3,9		0,7	
2309		Park Hill Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	8,6		3,5		0		4,9		4,1		0		7,8		4,5		0	
2636		Park Lane Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	19,7		8,2		1,4		16		9,8		2		19,1		6,4		1,5	
2605		Priors Field Primary School		Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	3,3		3,3		0,9		1,9		4,3		1		2,3		4,2		1,9	
3212		Provost Williams C.Of E. Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	9,2		5,1		1		8,8		3,1		1		6,4		6,9		1,1	
5404		Queen Elizabeth School and Sports College	http://dbpedia.org/page/Queen_Elizabeth_School_and_Sports_College	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	15,2		7,9		4,5		19,9		5,6		3,9		21,1		5,6		2,5	
3200		Queen's C.Of E. Junior School	http://userannotation/na	Junior	http://dbpedia.org/page/Junior_school	Primary	http://dbpedia.org/page/Primary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	11,7		10,8		1,4		13,4		11		1,4		20,5		7,2		1,5	
2043		Quinton Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	15,7		6,7		3,4		12,2		4,1		4,1		11,1		5,6		4,2	
2614		Race Leys Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	14,4		3,3		0,6		11		3,8		2,2		15,3		3,7		1,6	
2615		Race Leys Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		9,8		5,5		1,6		4		5,6		1,2		6,5		3,9		1,3	
2617		Racemeadow Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	26,7		6,4		0		20,8		8,5		0,7		16,5		7,5		1,1	
3152		Radford Semele C.Of E. Primary School		Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	7,4		8,6		1,9		5,4		8,4		1,2		4,5		9		2,2	
7028		Ridgeway School		Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	Central		Warwick		0		16		84		0		14,6		85,4		0		21,5		78,5	
7001		River House School	http://dbpedia.org/page/River_House_School	Special		Special		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	0		0		100		0		0		100		0		0		100	
3597		Rokeby Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	10,4		9,3		1,5		6,5		6		2,2		8,1		5,9		2,3	
7030		Round Oak School, Support Service and Sports College		Special	http://dbpedia.org/page/Special_education	Special	http://dbpedia.org/page/Special_education	Central		Warwick	http://dbpedia.org/page/Warwick_District	0		0		100		0		0,7		99,3		0		0		100	
5406		Rugby High School	http://dbpedia.org/page/Rugby_High_School_for_Girls	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	2,4		0,9		0		2,5		4		0		5		3,3		0	
3056		Salford Priors C.Of E. Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	11,6		7,4		1,1		14,4		6,2		2,1		9,4		7,3		3,1	
4113		Shipston High School, a Specialist Technology College	http://dbpedia.org/page/Shipston_High_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon		25,2		2,4		3		25,9		2		2		25,1		3,1		2,5	
5206		Shipston Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon		15,5		4,7		1,3		13,2		6		1,3		11,4		8,1		0,9	
3057		Shottery St. Andrew's C.Of E. Primary School		Primary		Primary		Southern		Stratford on Avon		1,5		5,9		7,4		13		5,8		8,7		1,3		12		8	
2637		Shrubland Street Community Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	17,2		9,5		0,6		17,2		13,2		0,7		14,4		13,7		0,7	
3207		Shustoke C.Of E. Primary School		Primary		Primary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	32,3		1,8		1,8		25,4		4,1		0,6		10,7		4,5		1,1	
2046		Snitterfield Primary School		Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	7,8		7,8		0		13		6		1		12,8		5,3		1,1	
4114		Southam College	http://dbpedia.org/page/Southam_College	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Central		Stratford on Avon		13,7		6,7		1,6		14		5,5		1,5		8,1		5,3		1,8	
2624		Southam Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Central		Stratford on Avon		16,2		4,7		1,6		17,4		4,3		0,8		17,5		6,6		1,6	
3585		Southam St. James (Voluntary Aided) C. Of E. Primary School		Primary		Primary		Central		Stratford on Avon		9,9		5,9		0,5		8,5		5		1,5		10,6		3,4		1,1	
3591		St. Andrew's Benn C.Of E. (Voluntary Aided) Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	31,2		15,2		2,2		21		9,8		3,1		14,5		10,5		3,9	
3583		St. Anne's Catholic Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	17,9		6		0,9		10,2		9,3		0,5		10,1		8,1		1,5	
3544		St. Anthony's Catholic Primary School		Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	11		7,5		1,3		9,6		6,4		0,9		15		4		0,9	
3541		St. Augustine's Catholic Primary School		Primary		Primary		Central		Warwick		5,7		5,7		1,9		5,9		4,4		2		5,1		7,1		1,5	
4730		St. Benedict's Catholic High School	http://dbpedia.org/page/St_Benedict%27s_Catholic_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	9,8		5,1		4		9,3		4,9		5,1		9,6		5,1		5,1	
3501		St. Benedict's Catholic Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	10,6		1,2		0,6		8,3		2,4		0,6		8,7		5,8		1,2	
3503		St. Edward's Catholic Primary School		Primary		Primary		North Warwickshire		North Warwickshire		18,2		2,7		0,5		10,1		9,7		0,5		14		3,3		0,5	
3502		St. Francis Catholic Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	13,6		8,7		1		16		6,5		1		11,9		17,1		1,4	
2571		St. Giles Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		19,4		6,5		3,5		15,8		5		2,5		13,7		10,8		2	
3506		St. Gregory's Catholic Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	7,3		5,5		0,9		4,5		4,5		0,9		9,5		3,2		0,5	
3015		St. James C.Of E. Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	17		5,2		0,9		13,2		7,3		1,8		7,7		6,8		2,3	
2620		St. John's Primary School, Nursery and Children's Centre		Primary	http://dbpedia.org/page/Primary_school	Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	10,4		8,6		0,5		11,3		11,3		0		7,1		11,3		0,8	
3584		St. Joseph's Catholic Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	11,9		5,9		2,6		9,6		5,9		3,3		5,5		7,7		2,6	
3547		St. Joseph's Catholic Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	4,9		10,7		1,9		5,9		7,8		1		7,4		6,9		1	
3589		St. Lawrence C.Of E. (Voluntary Aided) Primary School		Primary		Primary		Central		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	6,2		4,8		0,7		8,1		8,1		0,7		12		10		2	
3157		St. Margaret's C.Of E. Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	8,7		7,6		1,1		5,9		8,5		1,1		10,6		7,1		2	
3563		St. Marie's Catholic Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	19,6		9,3		1		14,2		9,2		0		6		2,3		0	
3562		St. Marie's Catholic Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Eastern		Rugby		34		13,9		1,4		11,4		7,3		1,8		11		11		2,4	
3545		St. Mary Immaculate Catholic Primary School	http://dbpedia.org/page/St._Mary_Immaculate_Catholic_Primary_School	Primary	http://dbpedia.org/page/Primary_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	12,9		4,7		1,2		12,6		4,6		2,3		10,1		7,6		2,5	
3508		St. Mary's Catholic Primary School, Henley in Arden	http://userannotation/na	Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	7,9		15,8		2,6		15,6		8,9		4,4		12,5		10		2,5	
3505		St. Mary's Catholic Primary School, Southam		Primary		Primary		Central		Stratford on Avon		6,1		6,1		0,5		6		7,8		0,6		9,3		4,6		1,3	
3507		St. Mary's Catholic Primary School, Studley		Primary		Primary		Southern		Stratford on Avon		10		2,3		2,7		10,2		2,2		1,8		10,7		1,3		1,8	
3213		St. Matthew's Bloxam C.Of E. Primary School		Primary		Primary		Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	7,6		5		2,5		10,4		3,8		3,3		8,3		4,2		3,3	
2641		St. Michael's C.Of E. Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	17,1		8,5		2,5		17,8		10,8		3,3		18,1		11,8		3,4	
3595		St. Nicholas' C. Of E. Primary School, Alcester	http://dbpedia.org/page/St._Nicholas%27_CE_Primary_School	Primary		Primary		Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	12		2,8		1,5		10,6		2,2		0,6		6,3		4,2		0,6	
3146		St. Nicholas C.Of E. Primary School, Kenilworth	http://userannotation/na	Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	15,1		3,7		2		17,7		2,8		1,8		17		3,4		2	
3592		St. Nicolas C.Of E. (Voluntary Aided) Primary School		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	4,3		4,1		0,9		3,6		4,7		1,3		3		6		1,4	
3206		St. Oswald's C.Of E. Primary School		Primary		Primary		Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	13,1		8,1		2,7		16		4,7		3,3		12,2		7,7		3,2	
3543		St. Patrick's Catholic Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	11		8,7		0		15,6		5,6		0		11,7		5,1		0,5	
3371		St. Paul's C.Of E. Primary School, Leamington Spa		Primary		Primary		Central		Warwick		12,8		5,9		1,5		9,3		4		2,3		10		5,6		2,5	
3106		St. Paul's C.Of E. Primary School, Nuneaton		Primary		Primary		Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	20,2		8		1,1		19,7		8		1,1		19,4		8,6		0,6	
3542		St. Peter's Catholic Primary School		Primary		Primary		Central	http://userannotation/na	Warwick	http://dbpedia.org/page/Warwick_District	8,4		15		1,9		5,6		13,9		0		15,9		8,8		0,9	
4803		St. Thomas More Catholic School and Technology College	http://dbpedia.org/page/St_Thomas_More_Catholic_School,_Nuneaton	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	10,8		3,7		2,5		9		1,4		2,1		9,5		1,3		2	
1041		Stockingford Early Years Centre	http://userannotation/na	Nursery	http://dbpedia.org/page/Nursery_school	Nursery	http://dbpedia.org/page/Nursery_school	Nuneaton & Bedworth		Nuneaton and Bedworth		1,3		1,3		0		2,3		2,3		0		0		6,5		0	
2121		Stockingford Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	Nuneaton & Bedworth		Nuneaton and Bedworth		7,9		6,8		2,5		8,6		5,2		2,6		6,7		5,2		1,9	
2120		Stockingford Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Nuneaton & Bedworth		Nuneaton and Bedworth		16,8		5,2		2,6		16,7		4		2,3		15,8		4,5		3,3	
2049		Stockton Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Central	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	6		12		3		10		13,3		2,2		10,8		5,9		2,9	
4002		Stratford-upon-Avon Grammar School for Girls A Specialist College for Language and Science	http://dbpedia.org/page/Stratford-upon-Avon_Grammar_School_for_Girls	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon		0		0		0		0		0		0		0		0,2		0,2	
4124		Stratford-upon-Avon High School, A Maths and Computing Specialist College	http://dbpedia.org/page/Stratford-upon-Avon_High_School	Secondary		Secondary		Southern		Stratford on Avon		15		3,2		2,8		12,4		7,6		3		12,5		4,9		2,6	
2050		Stratford-upon-Avon Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon		6,9		7,4		0,9		5,1		6,1		0,9		10,2		4,6		0,9	
5408		Studley High School, Humanities and Music College		Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Southern		Stratford on Avon		10,8		5,7		0,7		10,8		5,9		0,7		12,6		4,6		0,7	
2055		Studley Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary	http://dbpedia.org/page/Primary_school	Southern		Stratford on Avon		6,7		1,8		0		9		2,7		0,5		9,5		6,9		0	
3310		Studley St. Mary's C.Of E. Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Southern		Stratford on Avon		18		8,2		2		18,1		9,5		2,1		13,9		10,8		0,9	
2622		Sydenham Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	24,4		15,1		2,4		20,1		18,6		2,5		21,8		19,3		2,5	
3311		Tanworth-In-Arden C.Of E. Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	8,8		4,6		1,8		11,5		6		1,4		10,9		5		0,5	
2326		Telford Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	15,9		3		0,4		21,8		4,2		0,4		17,2		3		0,7	
2315		Telford Junior School		Junior	http://dbpedia.org/page/Junior_school	Primary		Central		Warwick		12,9		2,6		0,6		13,8		2,6		0,3		15,5		1,5		0,3	
3066		Temple Grafton C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	5,7		8,5		0		13,5		3,8		0		14,7		3,9		1	
2610		Temple Herdewyke Primary School		Primary		Primary		Southern		Stratford on Avon		5,6		12,7		0		14,5		5,3		2,6		15,6		9,1		1,3	
5400		The Avon Valley School and Performing Arts College	http://dbpedia.org/page/Avon_Valley_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Eastern		Rugby	http://dbpedia.org/page/Borough_of_Rugby	20,8		2,6		5,4		18,6		5,1		5,6		17,8		6,8		4,6	
4233		The Coleshill School - a Maths and Computing College	http://dbpedia.org/page/Coleshill_School	Secondary		Secondary		North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	9,1		5,2		2		10,4		3,6		1,8		8,6		4,7		1,1	
3216		The Dassett C.Of E. Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Southern	http://userannotation/na	Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	8,2		7,7		2,2		10,8		5,7		1,7		8,7		6		1,1	
3210		The Ferncumbe C.Of E. Primary School		Primary		Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	17,8		7,9		2		12,3		11,4		0,9		18		8,1		1,8	
5409		The George Eliot School		Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	Nuneaton & Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	Nuneaton and Bedworth	http://dbpedia.org/page/Nuneaton_and_Bedworth	17		8,4		3,5		22,1		7,5		2,7		19,4		8,8		2,7	
3209		The Nethersole C.Of E. Primary School		Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	North Warwickshire	http://dbpedia.org/page/North_Warwickshire	7,1		10,6		1,6		7,3		8,3		1,9		8,6		7		1	
4112		The Polesworth School - A Specialist Language College	http://dbpedia.org/page/The_Polesworth_School	Secondary	http://dbpedia.org/page/Secondary_school	Secondary	http://dbpedia.org/page/Secondary_school	North Warwickshire		North Warwickshire		12,1		6		2,1		11,7		6,4		1,6		7,9		6,4		1,4	
3593		The Revel C.Of E. (Aided) Primary School	http://userannotation/na	Primary	http://dbpedia.org/page/Primary_school	Primary	http://dbpedia.org/page/Primary_school	Eastern	http://userannotation/na	Rugby	http://dbpedia.org/page/Borough_of_Rugby	6,1		1,7		1,2		4,9		1,4		1,2		7,3		2,4		0,9	
3204		The Willows C.Of E. Primary School		Primary		Primary		Southern		Stratford on Avon	http://dbpedia.org/page/Stratford-on-Avon_District	6,9		5,5		0,4		6,6		5,5		0,7		9,2		3,3		1	
2052		Thomas Jolyffe Primary School		Primary		Primary		Southern		Stratford on Avon		11,7		8,7		2,5		8,5		10,6		2,3		5,5		9,1		2,9	
2307		Thorns Community Infant School		Infant	http://dbpedia.org/page/Infant_school	Primary		Central		Warwick	http://dbpedia.org/page/Warwick_District	5,1		4		0		2,8		5,1		1,1		5,6		5		1,1	
