Location	http://dbpedia.org/page/Category:Categories_by_geographical_location	Map Ref	http://userannotation/na	X Coordinate	http://userannotation/na	Y Coordinate	http://userannotation/na	Mobile	http://userannotation/na	Route	http://userannotation/na	Number	http://userannotation/na	Stop Name	http://userannotation/na	Sheltered Location	http://userannotation/na	Arrive	http://dbpedia.org/page/Category:Time	Depart	http://dbpedia.org/page/Category:Time	Stay	http://dbpedia.org/page/Category:Time	Day of the week	http://userannotation/na	Week No	http://userannotation/na		
Harborough Magna	http://dbpedia.org/page/Harborough_Magna	66	http://userannotation/number	446849		278370		Bedworth	http://dbpedia.org/page/Bedworth	G		1		Cathiron Crossing		No		10:30		10:45		15		Tuesday		2			
Harborough Magna		67		449089		279906		Bedworth		G		5		Hospital Farm		No		12:30		12:45		15		Tuesday		2			
Harborough Magna		67		447900		279149		Bedworth		G		4		Meadow Way		No		12:05		12:20		15		Tuesday		2			
Harborough Magna		67		447288		278938		Bedworth		G		2		Easenhall Road		No		11:10		11:30		20		Tuesday		2			
Harbury	http://dbpedia.org/page/Harbury	111		435206		261996		Southam	http://dbpedia.org/page/Southam	L		2		Lower Fosse Farm, Fosse Way		No		09:55		10:10		15		Monday	http://dbpedia.org/page/Monday	3			
Haseley Knob	http://dbpedia.org/page/Haseley	91		423434		271286		Kenilworth	http://dbpedia.org/page/Kenilworth	J		2		Post Box		No		09:50		10:05		15		Thursday	http://dbpedia.org/page/Thursday	2			
Haselor	http://dbpedia.org/page/Haselor,_Warwickshire	119		412537		258100		Alcester	http://dbpedia.org/page/Alcester	F		9		Old Post Office		No		16:00		16:15		15		Monday	http://dbpedia.org/page/Monday	2			
Heathcote Park	http://userannotation/na	123		431095		262866		Southam	http://dbpedia.org/page/Southam	B		1		Caravan Park		No		09:55		10:35		40		Tuesday	http://dbpedia.org/page/Tuesday	1			
Henley	http://dbpedia.org/page/Henley-in-Arden	113		415639		269118		Kenilworth	http://dbpedia.org/page/Kenilworth	K		8		Hillfield House, Liveridge Farm		No		12:05		12:15		10		Friday	http://dbpedia.org/page/Friday	2			
Hillmorton	http://dbpedia.org/page/Hillmorton		http://userannotation/na	453559		273450		Bedworth	http://dbpedia.org/page/Bedworth	P		2		Astley Place		Yes		09:55		10:15		20		Friday		3			
Hillmorton				453230		273574		Bedworth		P		3		Duffy Place/High Street		Yes		10:40		11:40		60		Friday		3			
Hillmorton				453822		273437		Bedworth		P		1		Foresters Place		Yes		09:30		09:50		20		Friday		3			
Hillmorton				452555		273820		Bedworth		P		4		Mercer Court/Robbins Court		Yes		11:45		13:00		75		Friday		3			
Hillmorton				452889		274051		Bedworth		M		3		Pettiver Crescent/Bromwish Road		Yes		14:15		15:15		60		Tuesday	http://dbpedia.org/page/Tuesday	3			
Hockley Heath	http://dbpedia.org/page/Hockley_Heath	88	http://userannotation/number	414596		271793		Kenilworth	http://dbpedia.org/page/Kenilworth	K		5		Obelisk Farm		No		11:10		11:25		15		Friday	http://dbpedia.org/page/Friday	2			
Honington	http://dbpedia.org/page/Honington,_Warwickshire	138		426810		242689		Alcester	http://dbpedia.org/page/Alcester	L		6		Council Houses		No		14:45		15:05		20		Monday	http://dbpedia.org/page/Monday	3			
Hunningham	http://dbpedia.org/page/Hunningham	115		438919		266626		Southam	http://dbpedia.org/page/Southam	D		1		Snowford Hall Cottages		No		09:30		09:45		15		Thursday	http://dbpedia.org/page/Thursday	1			
Hunningham		107		437704		268195		Southam		D		2		Cottages		No		09:50		10:00		10		Thursday		1			
Hunningham		107		437279		268079		Southam		D		3		Church		No		10:05		10:20		15		Thursday		1			
Hurley	http://dbpedia.org/page/Hurley,_Warwickshire	16		423783		295674		Atherstone	http://dbpedia.org/page/Atherstone	N		4		Post Office		No		12:50		13:05		15		Wednesday	http://dbpedia.org/page/Wednesday	3			
Hurley		16		424655		295760		Atherstone		N		6		Holly Drive		No		13:35		13:50		15		Wednesday		3			
Hurley		16		424304		295972		Atherstone		N		7		High Street		No		13:55		14:15		20		Wednesday		3			
Hurley		16		424262		295815		Atherstone		N		5		Layby		No		13:10		13:30		20		Wednesday		3			
Hurley		16		424152		297028		Atherstone		N		8		The Common	http://dbpedia.org/page/Hurley_Common	No		14:20		14:40		20		Wednesday		3			
Idlicote	http://dbpedia.org/page/Idlicote	137		428443		244382		Southam	http://dbpedia.org/page/Southam	G		3		Bellum Cottages	http://userannotation/na	No		11:05		11:20		15		Tuesday	http://dbpedia.org/page/Tuesday	2			
Ilmington	http://dbpedia.org/page/Ilmington	136		421272		243518		Alcester	http://dbpedia.org/page/Alcester	O		3		Red Lion		No		10:45		11:15		30		Thursday	http://dbpedia.org/page/Thursday	3			
Ilmington		136		420858		243445		Alcester		O		4		Old School		No		11:35		12:10		35		Thursday		3			
Kemps Green	http://userannotation/na	88		413661		271374		Kenilworth	http://dbpedia.org/page/Kenilworth	K		6		Umberslade Hall, Umberslade		No		11:30		11:45		15		Friday	http://dbpedia.org/page/Friday	2			
Kemps Green		88		415053		269915		Kenilworth		K		7		Nuthurst Farm		No		11:50		12:00		10		Friday		2			
Kenilworth	http://dbpedia.org/page/Kenilworth		http://userannotation/na	429513		271903		Kenilworth		N		6		Ashdene Gardens		Yes		14:30		15:30		60		Wednesday	http://dbpedia.org/page/Wednesday	3			
Kenilworth				428970		272000		Kenilworth		N		5		Coniston Grange		Yes		13:40		14:20		40		Wednesday		3			
Kenilworth				429381		272560		Kenilworth		N		3		Glendale Avenue		Yes		11:05		11:25		20		Wednesday		3			
Kenilworth				429764		270837		Kenilworth		C		5		Servite House		Yes		12:10		12:50		40		Wednesday		1			
Kenilworth				428786		272040		Kenilworth		N		1		Montpellier House		Yes		09:40		10:20		40		Wednesday		3			
Kenilworth				428857		271173		Kenilworth		C		6		Moorlands Lodge		Yes		14:00		14:50		50		Wednesday		1			
Kenilworth				429165		270912		Kenilworth		C		3		Oaklands Court		Yes		10:45		11:25		40		Wednesday		1			
Kenilworth				428942		272128		Kenilworth		N		2		Richards Close		Yes		10:25		10:45		20		Wednesday		3			
Kenilworth				428902		271252		Kenilworth		C		7		Kenilworth Manor		Yes		15:00		15:45		45		Wednesday		1			
Kenilworth				429012		271724		Kenilworth		C		4		Tannery Court		Yes		11:35		12:00		25		Wednesday		1			
Kenilworth				429598		272257		Kenilworth		N		4		Willow Meer (Adcock Drive)		Yes		11:30		12:15		45		Wednesday		3			
Kenilworth		92	http://userannotation/number	427798		273046		Kenilworth		M		8		Scarecrows Day Nursery		No		15:10		16:00		50		Tuesday	http://dbpedia.org/page/Tuesday	3			
Kingsbury	http://dbpedia.org/page/Kingsbury,_Warwickshire		http://userannotation/na	421876		296205		Atherstone	http://dbpedia.org/page/Atherstone	N		2		Hadleys Croft		Yes		10:45		11:10		25		Wednesday	http://dbpedia.org/page/Wednesday	3			
Kingsbury				421853		296442		Atherstone		N		3		Jubilee Court		Yes		11:15		11:35		20		Wednesday		3			
Knightcote	http://userannotation/na	124	http://userannotation/number	439909		254538		Southam	http://dbpedia.org/page/Southam	M		10		Telephone Box		No		15:05		15:30		25		Tuesday	http://dbpedia.org/page/Tuesday	3			
Knowle End		133		438374		248381		Southam		C		11		Camp Lane		No		15:50		16:05		15		Wednesday	http://dbpedia.org/page/Wednesday	1			
Ladbroke	http://dbpedia.org/page/Ladbroke,_Warwickshire	124		441653		258833		Southam		K		8		School Lane		No		14:20		14:40		20		Friday	http://dbpedia.org/page/Friday	2			
Langley	http://userannotation/na	113		419082		263400		Kenilworth	http://dbpedia.org/page/Kenilworth	M		1		Spring Lane		No		09:20		09:50		30		Tuesday	http://dbpedia.org/page/Tuesday	3			
Lapworth	http://dbpedia.org/page/Lapworth	88		418988		272130		Kenilworth		J		4		Kingswood Close		No		11:00		11:15		15		Thursday	http://dbpedia.org/page/Thursday	2			
Lapworth		88		418826		271228		Kenilworth		J		5		Station Lane		No		11:25		11:35		10		Thursday		2			
Lapworth		88		418514		271111		Kenilworth		J		7		Harborough Cottages		No		13:15		13:35		20		Thursday		2			
Lapworth		88		418536		273269		Kenilworth		K		1		15 Chapel Lane		No		09:15		09:30		15		Friday	http://dbpedia.org/page/Friday	2			
Lapworth		88		419122		273871		Kenilworth		K		2		179 Chapel Lane		No		09:35		09:55		20		Friday		2			
Lapworth		88		418395		271605		Kenilworth		J		6		Meadow Springs, Mill Lane		No		11:40		11:50		10		Thursday	http://dbpedia.org/page/Thursday	2			
Lapworth		88		417543		271114		Kenilworth		K		3		Pound Close		No		10:30		10:50		20		Friday	http://dbpedia.org/page/Friday	2			
Lapworth		88		416059		272034		Kenilworth		K		4		Bell Cottages, Wharf Lane		No		10:55		11:05		10		Friday		2			
Lawford Heath	http://userannotation/na	65		445525		273083		Bedworth	http://dbpedia.org/page/Bedworth	K		1		The Rylands		No		09:30		09:45		15		Friday		2			
Lea Marston	http://dbpedia.org/page/Lea_Marston	24		420360		293406		Atherstone	http://dbpedia.org/page/Atherstone	B		8		The Green		No		15:10		16:00		50		Tuesday	http://dbpedia.org/page/Tuesday	1			
Leamington Hastings	http://dbpedia.org/page/Leamington_Hastings	116		444391		267720		Southam	http://dbpedia.org/page/Southam	N		1		Birdingbury Road		No		09:30		09:45		15		Wednesday	http://dbpedia.org/page/Wednesday	3			
Leamington Hastings		116		444523		267715		Southam		N		2		Off T-Junction		No		09:50		10:10		20		Wednesday		3			
Leamington Hastings		116		445000		267182		Southam		N		4		Swedish Houses		No		11:00		11:15		15		Wednesday		3			
Leamington Hastings			http://userannotation/na	444495		267537		Southam		N		3		Alms Houses		No		10:15		10:35		20		Wednesday		3			
Leamington Spa	http://dbpedia.org/page/Royal_Leamington_Spa			431665		267170		Kenilworth	http://dbpedia.org/page/Kenilworth	F		1		Avon Court (Leamington)		Yes		09:15		10:05		50		Monday	http://dbpedia.org/page/Monday	2			
Leamington Spa				430738		266399		Kenilworth		F		3		Brookhurst Court		Yes		11:00		11:30		30		Monday		2			
Leamington Spa				432956		264621		Southam	http://dbpedia.org/page/Southam	J		4		Campion View		Yes		12:05		12:45		40		Thursday	http://dbpedia.org/page/Thursday	2			
Leamington Spa				432458		266946		Kenilworth	http://dbpedia.org/page/Kenilworth	D		2		Charles Watson Court		Yes		10:40		11:20		40		Thursday		1			
Leamington Spa				432007		264151		Southam	http://dbpedia.org/page/Southam	J		3		Culworth House		Yes		11:35		11:55		20		Thursday		2			
Leamington Spa				431737		266708		Kenilworth	http://dbpedia.org/page/Kenilworth	D		1		Homewood		Yes		09:30		10:15		45		Thursday		1			
Leamington Spa				431986		266051		Southam	http://dbpedia.org/page/Southam	J		6		Kinmond Court		Yes		14:50		15:30		40		Thursday		2			
Leamington Spa				431848		266582		Kenilworth	http://dbpedia.org/page/Kenilworth	D		5		Oakfield House		Yes		15:00		15:45		45		Thursday		1			
Leamington Spa				431913		266693		Kenilworth		F		5		Parmiter House		Yes		12:30		13:00		30		Monday	http://dbpedia.org/page/Monday	2			
Leamington Spa				430418		266058		Kenilworth		F		4		Rene England House		Yes		11:40		12:15		35		Monday		2			
Leamington Spa				432133		267355		Kenilworth		D		4		Southfields		Yes		13:40		14:40		60		Thursday	http://dbpedia.org/page/Thursday	1			
Leamington Spa				432481		266070		Southam	http://dbpedia.org/page/Southam	J		5		Whittle Court		Yes		13:55		14:40		45		Thursday		2			
Leamington Spa				431231		266963		Kenilworth	http://dbpedia.org/page/Kenilworth	F		2		Huntley Lodge		Yes		10:15		10:40		25		Monday	http://dbpedia.org/page/Monday	2			
Lighthorne	http://dbpedia.org/page/Lighthorne	123	http://userannotation/number	432291		255737		Southam	http://dbpedia.org/page/Southam	B		4		Pipers Bath		No		12:10		12:25		15		Tuesday	http://dbpedia.org/page/Tuesday	1			
Lighthorne		131		433909		255658		Southam		O		5		Verney Close		No		11:45		12:00		15		Thursday	http://dbpedia.org/page/Thursday	3			
Lighthorne		123		433833		255775		Southam		O		4		Mountford Rise		No		11:25		11:40		15		Thursday		3			
Lighthorne Heath	http://dbpedia.org/page/Lighthorne_Heath	123		435152		255929		Southam		O		9		Winyates Road		No		14:55		15:10		15		Thursday		3			
Lighthorne Heath		123		435199		255696		Southam		O		10		Marston Avenue		No		15:15		15:35		20		Thursday		3			
Lighthorne Heath		123		435017		255836		Southam		O		11		Avon Road		No		15:40		16:20		40		Thursday		3			
Lighthorne Heath			http://userannotation/na	434921		255905		Southam		J		1		Children's Centre		No		09:45		10:15		30		Thursday		2			
Lilllington	http://dbpedia.org/page/Lillington,_Warwickshire			432360		266921		Kenilworth	http://dbpedia.org/page/Kenilworth	D		3		Acorn Court		Yes		11:30		12:30		60		Thursday		1			
Little Compton	http://userannotation/na	141	http://userannotation/number	426301		230329		Alcester	http://dbpedia.org/page/Alcester	B		6		Old Post Office		No		14:15		14:35		20		Tuesday	http://dbpedia.org/page/Tuesday	1			
Little Compton		141		425804		230213		Alcester		B		7		Red Lion		No		14:40		14:55		15		Tuesday		1			
Long Compton	http://dbpedia.org/page/Long_Compton	141		429032		232690		Alcester		B		5		Back Lane		No		11:55		12:55		60		Tuesday		1			
Long Compton		141		428690		233217		Alcester		B		4		Crockwell Street		No		11:35		11:50		15		Tuesday		1			
Long Compton		141		427773		233145		Alcester		B		3		The Mill		No		10:40		10:55		15		Tuesday		1			
Long Itchington	http://dbpedia.org/page/Long_Itchington	115		440977		265175		Southam	http://dbpedia.org/page/Southam	E		1		Green Man		No		09:30		09:45		15		Friday	http://dbpedia.org/page/Friday	1			
Long Itchington		115		441159		265157		Southam		N		8		Bizzytots Playgroup		No		09:50		10:30		40		Wednesday	http://dbpedia.org/page/Wednesday	3			
Long Itchington		115		441956		265009		Southam		E		3		Wulfstan Drive		No		10:35		10:55		20		Friday	http://dbpedia.org/page/Friday	1			
Long Itchington			http://userannotation/na	442012		264903		Southam		E		2		Pre School		No		09:55		10:30		35		Friday		1			
Long Itchington		115	http://userannotation/number	441442		265692		Southam		D		14		Marton Road		No		15:45		16:00		15		Thursday	http://dbpedia.org/page/Thursday	1			
Long Lawford	http://dbpedia.org/page/Long_Lawford	82		447626		276084		Bedworth	http://dbpedia.org/page/Bedworth	D		6		School		No		15:00		15:25		25		Thursday		1			
Long Lawford		82		447121		276176		Bedworth		D		2		Judge Close		No		11:40		12:05		25		Thursday		1			
Long Lawford		82		447012		275724		Bedworth		D		3		The Green		No		12:10		12:25		15		Thursday		1			
Long Marston	http://dbpedia.org/page/Long_Marston,_Warwickshire	129		415367		248737		Alcester	http://dbpedia.org/page/Alcester	G		2		Masons Arms		No		10:10		10:50		40		Tuesday	http://dbpedia.org/page/Tuesday	2			
Lower Brailes	http://dbpedia.org/page/Brailes	137		431409		239302		Southam	http://dbpedia.org/page/Southam	G		5		Opposite The George		No		12:15		12:30		15		Tuesday		2			
Lower Brailes		137		431752		239072		Southam		G		6		The Park		No		12:35		12:50		15		Tuesday		2			
Lower Clopton	http://userannotation/na	120		417000		247388		Alcester	http://dbpedia.org/page/Alcester	G		3		Marston Edge Nursery		No		11:15		11:30		15		Tuesday		2			
Lower Quinton	http://dbpedia.org/page/Quinton,_Warwickshire	129		417905		247152		Alcester		G		4		Corbett House		No		11:35		12:50		75		Tuesday		2			
Lower Quinton		129		417680		246961		Alcester		G		5		Goose Lane		No		14:00		14:15		15		Tuesday		2			
Lower Shuckburgh	http://dbpedia.org/page/Lower_Shuckburgh	117		449792		261830		Southam	http://dbpedia.org/page/Southam	H		6		Hall Lodge	http://dbpedia.org/page/Shuckburgh_Hall	No		12:40		13:00		20		Wednesday	http://dbpedia.org/page/Wednesday	2			
Lower Shuckburgh		116		448941		262608		Southam		H		7		By Church	http://userannotation/na	No		13:05		13:20		15		Wednesday		2			
Lower Tysoe	http://dbpedia.org/page/Tysoe	138		434233		245242		Southam		C		3		Badger's Lane		No		10:45		11:05		20		Wednesday		1			
Lower Tysoe		138		433800		245070		Southam		C		2		Townsend Farm		No		10:25		10:40		15		Wednesday		1			
Lowsonford	http://dbpedia.org/page/Lowsonford	113		418386		267725		Kenilworth	http://dbpedia.org/page/Kenilworth	M		5		Uplands Farm		No		12:00		12:20		20		Tuesday	http://dbpedia.org/page/Tuesday	3			
Loxley	http://dbpedia.org/page/Loxley,_Warwickshire	130		424029		251779		Alcester	http://dbpedia.org/page/Alcester	O		1		Goldicote House		No		09:35		09:50		15		Friday	http://dbpedia.org/page/Friday	1			
Mancetter	http://dbpedia.org/page/Mancetter		http://userannotation/na	425394		305328		Atherstone	http://dbpedia.org/page/Atherstone	H		1		Little Stars		No		09:30		09:50		20		Wednesday	http://dbpedia.org/page/Wednesday	2			
Mappleborough Green	http://userannotation/na	86	http://userannotation/number	409114		269369		Alcester	http://dbpedia.org/page/Alcester	H		1		The Old Thatch, Pink Green (A435)		No		09:00		09:15		15		Wednesday		2			
Mappleborough Green		112		408033		265776		Alcester		E		5		Pratts Lane		No		11:40		12:00		20		Friday	http://dbpedia.org/page/Friday	1			
Marston Doles		125		446541		258301		Southam	http://dbpedia.org/page/Southam	P		10		Canal Bridge		No		14:55		15:10		15		Friday		3			
Marton	http://dbpedia.org/page/Marton,_Warwickshire	115		440742		268846		Southam		D		13		Shepherd Street		No		15:05		15:35		30		Thursday	http://dbpedia.org/page/Thursday	1			
Maxstoke	http://dbpedia.org/page/Maxstoke	35		423100		288112		Atherstone	http://dbpedia.org/page/Atherstone	K		2		School House Cottages		No		10:25		10:40		15		Friday	http://dbpedia.org/page/Friday	2			
Middle Tysoe	http://dbpedia.org/page/Tysoe	138		433943		244166		Southam	http://dbpedia.org/page/Southam	C		4		Village Hall		No		11:15		11:50		35		Wednesday	http://dbpedia.org/page/Wednesday	1			
Middle Tysoe		138		433898		244003		Southam		C		7		Tysoe Pre-School		No		14:00		14:20		20		Wednesday		1			
Middleton	http://dbpedia.org/page/Middleton,_Warwickshire	7		414736		298913		Atherstone	http://dbpedia.org/page/Atherstone	B		1		Hill Lane		No		10:00		10:55		55		Tuesday	http://dbpedia.org/page/Tuesday	1			
Middleton		8		417845		298313		Atherstone		B		2		Church Lane		No		11:05		11:25		20		Tuesday		1			
Middleton		8		417652		298289		Atherstone		B		3		Church		No		11:30		11:45		15		Tuesday		1			
Middleton		8		417091		296986		Atherstone		B		4		Broad Lake		No		11:50		12:10		20		Tuesday		1			
Monks Kirby	http://dbpedia.org/page/Monks_Kirby	53		445534		284176		Bedworth	http://dbpedia.org/page/Bedworth	F		1		Fosse Farm		No		09:15		09:30		15		Monday	http://dbpedia.org/page/Monday	2			
Monks Kirby		53		446624		283078		Bedworth		F		3		22 Brockhurst Road		No		10:20		10:50		30		Monday		2			
Moreton Morrell	http://dbpedia.org/page/Moreton_Morrell	122		431114		255915		Southam	http://dbpedia.org/page/Southam	B		5		Black Horse		No		12:30		12:45		15		Tuesday	http://dbpedia.org/page/Tuesday	1			
Moreton Morrell		122		431017		256203		Southam		B		6		Oak Tree Close		No		12:50		13:10		20		Tuesday		1			
Napton	http://dbpedia.org/page/Napton-on-the-Hill	125		446619		261311		Southam		H		8		Vicarage Road		No		14:25		14:50		25		Wednesday	http://dbpedia.org/page/Wednesday	2			
Napton		125		446433		260990		Southam		H		9		Village Green		No		14:55		15:10		15		Wednesday		2			
Napton		125		446628		260918		Southam		H		10		Victory Club		No		15:15		16:00		45		Wednesday		2			
Nether Whitacre	http://dbpedia.org/page/Nether_Whitacre	25		423230		293029		Atherstone	http://dbpedia.org/page/Atherstone	E		2		Dog Pub		No		10:15		10:35		20		Friday	http://dbpedia.org/page/Friday	1			
Nether Whitacre		25		423116		292413		Atherstone		E		3		Reddings Lane		No		11:00		11:15		15		Friday		1			
Nether Whitacre		25		422215		292866		Atherstone		E		4		Middle Lane		No		11:20		11:35		15		Friday		1			
Nether Whitacre		24		421876		293169		Atherstone		E		5		Rosecot		No		11:40		11:55		15		Friday		1			
New Arley	http://dbpedia.org/page/Arley,_Warwickshire	37		429224		289650		Atherstone		C		2		Stewarts Court		No		10:10		10:45		35		Wednesday	http://dbpedia.org/page/Wednesday	1			
New Arley		37		429541		289793		Atherstone		C		1		Sycamore Crescent		No		09:25		10:05		40		Wednesday		1			
Newbold on Avon	http://dbpedia.org/page/Newbold-on-Avon		http://userannotation/na	449006		277177		Bedworth	http://dbpedia.org/page/Bedworth	K		5		The Shops		No		14:00		14:30		30		Friday	http://dbpedia.org/page/Friday	2			
Newbold on Stour		130	http://userannotation/number	424643		246262		Alcester	http://dbpedia.org/page/Alcester	D		5		Village Hall		No		11:20		11:50		30		Thursday	http://dbpedia.org/page/Thursday	1			
Newbold on Stour		130		424108		247181		Alcester		D		4		Talton Farm Shop		No		10:45		11:00		15		Thursday		1			
Newton	http://dbpedia.org/page/Newton,_Warwickshire	83		453092		278103		Bedworth	http://dbpedia.org/page/Bedworth	C		5		Stag and Pheasant pub		No		14:55		15:30		35		Wednesday	http://dbpedia.org/page/Wednesday	1			
Newton Regis	http://dbpedia.org/page/Newton_Regis	2		427842		307432		Atherstone	http://dbpedia.org/page/Atherstone	H		2		Church		No		10:10		10:30		20		Wednesday		2			
Northend	http://dbpedia.org/page/Northend,_Warwickshire	131		439131		252641		Southam	http://dbpedia.org/page/Southam	M		7		Memorial		No		14:00		14:15		15		Tuesday	http://dbpedia.org/page/Tuesday	3			
Northend		133		439374		252757		Southam		M		8		The Prebend		No		14:20		14:35		15		Tuesday		3			
Northend		133		439263		252486		Southam		M		9		Malthouse Close		No		14:40		14:55		15		Tuesday		3			
Norton Lindsey	http://dbpedia.org/page/Norton_Lindsey	114		422361		263368		Kenilworth	http://dbpedia.org/page/Kenilworth	B		7		Village Hall		No		14:35		14:55		20		Tuesday		1			
Norton Lindsey		114		422807		263122		Kenilworth		B		8		New Inn		No		15:15		15:35		20		Tuesday		1			
Norton Lindsey		114		422661		262292		Kenilworth		B		9		Blacon Cottages		No		15:40		15:50		10		Tuesday		1			
Norton Lindsey		114		422235		263960		Kenilworth		B		6		Ganaway Stables		No		14:15		14:30		15		Tuesday		1			
Nuneaton	http://dbpedia.org/page/Nuneaton	29		436329		290102		Atherstone	http://dbpedia.org/page/Atherstone	P		2		Donnithorne Ave		No		10:40		10:55		15		Friday	http://dbpedia.org/page/Friday	3			
Nuneaton			http://userannotation/na	436197		291241		Atherstone		L		3		Aldersgate		Yes		11:35		12:40		65		Monday	http://dbpedia.org/page/Monday	3			
Nuneaton				434352		291400		Atherstone		O		3		Arthur Russell Court		Yes		11:15		12:25		70		Thursday	http://dbpedia.org/page/Thursday	3			
Nuneaton				434536		292033		Atherstone		O		6		Blackatree		Yes		15:15		16:00		45		Thursday		3			
Nuneaton				435957		290953		Atherstone		L		2		Cheveral Place Complex		Yes		10:50		11:30		40		Monday	http://dbpedia.org/page/Monday	3			
Nuneaton				436820		292952		Atherstone		L		4		Reg Haddon Court and Niton Road		Yes		14:00		14:50		50		Monday		3			
Nuneaton				434735		291169		Atherstone		O		1		Runnymede Gardens		Yes		09:30		10:00		30		Thursday	http://dbpedia.org/page/Thursday	3			
Nuneaton				431239		293540		Atherstone		M		2		St. Johns		Yes		11:15		12:00		45		Tuesday	http://dbpedia.org/page/Tuesday	3			
Nuneaton				434788		291280		Atherstone		O		2		Sunnyside Court		Yes		10:05		10:50		45		Thursday	http://dbpedia.org/page/Thursday	3			
Nuneaton				434165		291950		Atherstone		O		4		Windsor Gardens (Hanover Housing Association)		Yes		13:30		14:00		30		Thursday		3			
Offchurch	http://dbpedia.org/page/Offchurch	111	http://userannotation/number	435965		265866		Southam	http://dbpedia.org/page/Southam	L		3		Tudor Cottages		No		10:30		10:50		20		Monday	http://dbpedia.org/page/Monday	3			
Offchurch		111		435968		265616		Southam		L		4		Old Post Office		No		10:55		11:15		20		Monday		3			
Old Arley	http://dbpedia.org/page/Old_Arley	26		427513		290453		Atherstone	http://dbpedia.org/page/Atherstone	F		1		Devitts Green		No		10:00		10:20		20		Monday		2			
Old Arley		26		428149		290572		Atherstone		F		2		Beechgrove		No		10:25		10:45		20		Monday		2			
Old Arley		26		428465		289944		Atherstone		F		5		Spinney Close		No		12:20		12:35		15		Monday		2			
Old Arley		26		428388		290799		Atherstone		F		6		Wagon Load of Lime		No		12:40		13:05		25		Monday		2			
Oldberrow	http://dbpedia.org/page/Oldberrow	112		412045		265934		Alcester	http://dbpedia.org/page/Alcester	E		7		Oldberrow House		No		13:50		14:05		15		Friday	http://dbpedia.org/page/Friday	1			
Outwoods	http://dbpedia.org/page/Outwoods,_Warwickshire	 Packington		45		422281		283855	http://userannotation/number	Atherstone	http://dbpedia.org/page/Atherstone	G		6	http://userannotation/number	Packington Hall	http://dbpedia.org/page/Packington_Hall	No	http://dbpedia.org/page/Yes_and_no	14:50		15:05		15	http://userannotation/number	Tuesday	http://dbpedia.org/page/Tuesday	2	http://userannotation/number
Outwoods		 Packington		45		423717		283387		Atherstone		G		5		Dairy Farm, Packington	http://userannotation/na	No		14:25		14:45		20		Tuesday		2	
Oxhill	http://dbpedia.org/page/Oxhill,_Warwickshire	137	http://userannotation/number	431528		245941		Southam	http://dbpedia.org/page/Southam	G	http://userannotation/na	1	http://userannotation/number	Village Hall	http://userannotation/na	No	http://dbpedia.org/page/Yes_and_no	10:00	http://userannotation/number	10:30		30		Tuesday	http://dbpedia.org/page/Tuesday	2	http://userannotation/number		
Pailton	http://dbpedia.org/page/Pailton	67		450304		282491		Bedworth	http://dbpedia.org/page/Bedworth	F		7		Spinney Close 		No		12:35		12:50		15		Monday	http://dbpedia.org/page/Monday	2			
Pailton		67		450389		282031		Bedworth		F		6		Cestersover Farm 		No		12:10		12:30		20		Tuesday	http://dbpedia.org/page/Tuesday	2			
Pailton		66		447144		281969		Bedworth		F		4		White Lion		No		11:00		11:20		20		Monday	http://dbpedia.org/page/Monday	2			
Pailton		66		447355		281961		Bedworth		F		5		Brookside Drive		No		11:40		12:00		20		Monday		2			
Piccadilly	http://dbpedia.org/page/Piccadilly,_Warwickshire	9		422949		298050		Atherstone	http://dbpedia.org/page/Atherstone	N		1		Post Office		No		09:50		10:20		30		Wednesday	http://dbpedia.org/page/Wednesday	3			
Pillerton Hersey	http://dbpedia.org/page/Pillerton_Hersey	131		430034		248724		Southam	http://dbpedia.org/page/Southam	M		3		Post Box		No		10:45		11:00		15		Tuesday	http://dbpedia.org/page/Tuesday	3			
Pillerton Hersey		131		430585		249196		Southam		M		2		The Hills		No		10:25		10:40		15		Tuesday		3			
Pillerton Priors	http://userannotation/na	131		429336		247824		Southam		M		4		Village Hall		No		11:05		11:25		20		Tuesday		3			
Polesworth	http://dbpedia.org/page/Polesworth		http://userannotation/na	426415		301762		Atherstone	http://dbpedia.org/page/Atherstone	H		8		Monument View/Sunset House		Yes		14:05		14:20		15		Wednesday	http://dbpedia.org/page/Wednesday	2			
Polesworth				426628		302884		Atherstone		H		7		Princes Road		Yes		13:30		14:00		30		Wednesday		2			
Preston Bagot	http://dbpedia.org/page/Preston_Bagot	113	http://userannotation/number	417282		265728		Kenilworth	http://dbpedia.org/page/Kenilworth	M		4		Henley Road		No		11:35		11:50		15		Tuesday	http://dbpedia.org/page/Tuesday	3			
Preston on Stour	http://dbpedia.org/page/Preston-on-Stour	130		420441		249780		Alcester	http://dbpedia.org/page/Alcester	D		1		Village Hall		No		09:15		09:35		20		Thursday	http://dbpedia.org/page/Thursday	1			
Princethorpe	http://dbpedia.org/page/Princethorpe	96		439975		270795		Southam	http://dbpedia.org/page/Southam	D		6		Post Box, Leamington Road		No		11:20		11:40		20		Thursday		1			
Princethorpe		96		440343		271045		Southam		D		7		Fosse Crescent		No		11:45		12:00		15		Thursday		1			
Princethorpe		96		440788		270839		Southam		D		8		Hill Top Mobile Home Park		No		12:05		12:25		20		Thursday		1			
